 NSTEP 	 Time (ps) 	 Etot (kcal/mol) 	 Temp (K) 	 Press 
 100 	 20.200 	 120.4662 	 296.43 	 -300.8 
 200 	 20.400 	 -4585.1049 	 294.84 	 -612.4 
 300 	 20.600 	 -4573.5326 	 294.95 	 -716.4 
 400 	 20.800 	 -4548.1223 	 302.65 	 -16.2 
 500 	 21.000 	 -4525.3410 	 313.71 	 194.4 
 600 	 21.200 	 -4542.8995 	 297.48 	 -507.1 
 700 	 21.400 	 -4550.9376 	 293.70 	 -518.2 
 800 	 21.600 	 -4543.8652 	 298.31 	 -984.2 
 900 	 21.800 	 -4570.4109 	 303.81 	 -547.0 
 1000 	 22.000 	 -4550.4225 	 300.22 	 -520.4 
 1100 	 22.200 	 -4585.2078 	 302.15 	 -316.1 
 1200 	 22.400 	 -4577.3788 	 290.57 	 -559.4 
 1300 	 22.600 	 -4583.5594 	 299.27 	 -706.6 
 1400 	 22.800 	 -4605.5086 	 293.66 	 -319.7 
 1500 	 23.000 	 -4615.4200 	 303.61 	 -569.6 
 1600 	 23.200 	 -4583.6069 	 306.46 	 -267.6 
 1700 	 23.400 	 -4534.2492 	 303.74 	 352.1 
 1800 	 23.600 	 -4571.4911 	 295.67 	 -527.0 
 1900 	 23.800 	 -4580.2937 	 302.92 	 -865.6 
 2000 	 24.000 	 -4555.4327 	 307.04 	 -394.1 
 2100 	 24.200 	 -4567.5687 	 303.19 	 -957.8 
 2200 	 24.400 	 -4566.0038 	 308.00 	 -537.6 
 2300 	 24.600 	 -4547.9737 	 297.89 	 -873.7 
 2400 	 24.800 	 -4603.6717 	 299.98 	 -966.6 
 2500 	 25.000 	 -4611.0889 	 292.97 	 -831.1 
 2600 	 25.200 	 -4694.2189 	 290.95 	 -525.2 
 2700 	 25.400 	 -4678.6558 	 295.59 	 -448.2 
 2800 	 25.600 	 -4679.2889 	 299.18 	 -724.9 
 2900 	 25.800 	 -4650.4214 	 291.45 	 -41.7 
 3000 	 26.000 	 -4637.4849 	 296.65 	 -394.9 
 3100 	 26.200 	 -4677.2461 	 294.26 	 -223.4 
 3200 	 26.400 	 -4659.6974 	 310.80 	 -384.0 
 3300 	 26.600 	 -4592.8300 	 296.05 	 -461.1 
 3400 	 26.800 	 -4622.1237 	 289.09 	 -970.9 
 3500 	 27.000 	 -4626.0868 	 299.24 	 -861.2 
 3600 	 27.200 	 -4614.5996 	 288.13 	 -491.6 
 3700 	 27.400 	 -4625.5348 	 304.27 	 -519.6 
 3800 	 27.600 	 -4569.7752 	 305.38 	 -1130.3 
 3900 	 27.800 	 -4625.0792 	 293.38 	 -927.2 
 4000 	 28.000 	 -4653.4614 	 304.14 	 -955.5 
 4100 	 28.200 	 -4637.6852 	 311.51 	 -465.2 
 4200 	 28.400 	 -4643.8673 	 318.49 	 -828.0 
 4300 	 28.600 	 -4619.5255 	 300.56 	 -1056.6 
 4400 	 28.800 	 -4663.3843 	 300.75 	 -182.8 
 4500 	 29.000 	 -4631.8386 	 296.66 	 -494.5 
 4600 	 29.200 	 -4680.3524 	 288.95 	 -528.3 
 4700 	 29.400 	 -4722.1579 	 306.75 	 -966.6 
 4800 	 29.600 	 -4696.5022 	 291.45 	 -937.4 
 4900 	 29.800 	 -4729.6126 	 299.41 	 -530.3 
 5000 	 30.000 	 -4703.1835 	 301.76 	 -1156.6 
 5100 	 30.200 	 -4707.8668 	 304.10 	 -503.6 
 5200 	 30.400 	 -4660.0768 	 296.43 	 -259.7 
 5300 	 30.600 	 -4673.0967 	 308.03 	 -652.7 
 5400 	 30.800 	 -4656.3795 	 306.20 	 -702.3 
 5500 	 31.000 	 -4627.9210 	 298.93 	 170.5 
 5600 	 31.200 	 -4599.7806 	 302.74 	 -179.8 
 5700 	 31.400 	 -4648.8831 	 302.46 	 -598.5 
 5800 	 31.600 	 -4649.4773 	 311.51 	 -236.4 
 5900 	 31.800 	 -4665.3345 	 305.35 	 -471.6 
 6000 	 32.000 	 -4693.9727 	 295.36 	 -861.5 
 6100 	 32.200 	 -4726.4832 	 297.65 	 -507.4 
 6200 	 32.400 	 -4744.9909 	 284.81 	 -937.3 
 6300 	 32.600 	 -4788.9469 	 302.67 	 -356.7 
 6400 	 32.800 	 -4724.8673 	 290.91 	 -402.4 
 6500 	 33.000 	 -4724.9143 	 312.80 	 -141.3 
 6600 	 33.200 	 -4685.3320 	 297.07 	 -600.3 
 6700 	 33.400 	 -4721.0018 	 298.95 	 -665.2 
 6800 	 33.600 	 -4755.1232 	 295.85 	 -426.0 
 6900 	 33.800 	 -4810.7441 	 296.37 	 -312.1 
 7000 	 34.000 	 -4796.7949 	 299.55 	 -408.3 
 7100 	 34.200 	 -4737.2496 	 301.52 	 -1082.9 
 7200 	 34.400 	 -4735.1629 	 310.15 	 -470.2 
 7300 	 34.600 	 -4733.8855 	 301.65 	 234.9 
 7400 	 34.800 	 -4781.2227 	 301.73 	 -438.2 
 7500 	 35.000 	 -4789.1473 	 298.76 	 -957.4 
 7600 	 35.200 	 -4813.7562 	 304.54 	 -205.1 
 7700 	 35.400 	 -4817.4775 	 300.96 	 -208.5 
 7800 	 35.600 	 -4822.1009 	 310.51 	 -780.0 
 7900 	 35.800 	 -4788.4856 	 299.12 	 -1371.4 
 8000 	 36.000 	 -4816.5778 	 299.44 	 -176.3 
 8100 	 36.200 	 -4843.6187 	 286.99 	 -678.4 
 8200 	 36.400 	 -4867.3389 	 306.69 	 -891.5 
 8300 	 36.600 	 -4829.6258 	 304.53 	 -765.6 
 8400 	 36.800 	 -4839.4063 	 296.41 	 -378.3 
 8500 	 37.000 	 -4856.7404 	 295.21 	 -1067.0 
 8600 	 37.200 	 -4827.9999 	 304.79 	 71.0 
 8700 	 37.400 	 -4789.4960 	 297.34 	 -265.9 
 8800 	 37.600 	 -4807.4737 	 299.95 	 -1062.0 
 8900 	 37.800 	 -4822.8427 	 300.93 	 -341.1 
 9000 	 38.000 	 -4841.7963 	 300.69 	 -356.8 
 9100 	 38.200 	 -4852.5445 	 310.53 	 -507.7 
 9200 	 38.400 	 -4794.1774 	 303.13 	 163.3 
 9300 	 38.600 	 -4795.4408 	 299.11 	 -142.2 
 9400 	 38.800 	 -4843.1092 	 293.70 	 -436.9 
 9500 	 39.000 	 -4861.5219 	 298.41 	 -269.2 
 9600 	 39.200 	 -4861.1394 	 296.69 	 -156.8 
 9700 	 39.400 	 -4874.9262 	 302.05 	 -512.8 
 9800 	 39.600 	 -4895.8931 	 289.90 	 -328.3 
 9900 	 39.800 	 -4925.8895 	 286.03 	 135.4 
 10000 	 40.000 	 -4973.8736 	 290.98 	 -119.8 
 10100 	 40.200 	 -4988.7908 	 293.54 	 -503.7 
 10200 	 40.400 	 -4945.5981 	 299.89 	 -91.3 
 10300 	 40.600 	 -4916.3219 	 303.94 	 -287.8 
 10400 	 40.800 	 -4921.4063 	 297.11 	 52.3 
 10500 	 41.000 	 -4911.1395 	 303.32 	 -693.6 
 10600 	 41.200 	 -4874.5853 	 312.06 	 -717.8 
 10700 	 41.400 	 -4874.5310 	 306.53 	 -228.8 
 10800 	 41.600 	 -4881.8810 	 301.81 	 -940.9 
 10900 	 41.800 	 -4891.6363 	 300.51 	 -108.5 
 11000 	 42.000 	 -4896.9142 	 289.72 	 876.9 
 11100 	 42.200 	 -4912.6121 	 289.99 	 75.2 
 11200 	 42.400 	 -4904.3068 	 298.42 	 -690.6 
 11300 	 42.600 	 -4929.8410 	 299.86 	 75.2 
 11400 	 42.800 	 -4953.1665 	 297.77 	 91.6 
 11500 	 43.000 	 -4984.0176 	 285.80 	 -860.5 
 11600 	 43.200 	 -4980.7061 	 302.10 	 172.5 
 11700 	 43.400 	 -4938.8474 	 290.93 	 -138.7 
 11800 	 43.600 	 -4963.1656 	 295.50 	 -23.3 
 11900 	 43.800 	 -4955.5246 	 308.02 	 -299.9 
 12000 	 44.000 	 -4906.5723 	 293.92 	 -418.7 
 12100 	 44.200 	 -4930.7026 	 303.50 	 -646.3 
 12200 	 44.400 	 -4928.7367 	 305.64 	 476.4 
 12300 	 44.600 	 -4857.1610 	 289.76 	 450.0 
 12400 	 44.800 	 -4886.8174 	 310.16 	 314.0 
 12500 	 45.000 	 -4817.6888 	 304.25 	 -363.9 
 12600 	 45.200 	 -4872.9481 	 306.49 	 -226.8 
 12700 	 45.400 	 -4894.4047 	 296.42 	 -155.4 
 12800 	 45.600 	 -4885.6957 	 302.03 	 -397.7 
 12900 	 45.800 	 -4923.2417 	 297.89 	 -325.2 
 13000 	 46.000 	 -4897.3522 	 301.83 	 319.7 
 13100 	 46.200 	 -4892.6689 	 296.51 	 314.5 
 13200 	 46.400 	 -4893.3622 	 310.46 	 -589.8 
 13300 	 46.600 	 -4838.7241 	 303.09 	 -789.3 
 13400 	 46.800 	 -4836.7701 	 304.32 	 83.6 
 13500 	 47.000 	 -4760.9359 	 311.16 	 -57.4 
 13600 	 47.200 	 -4784.3831 	 313.02 	 235.7 
 13700 	 47.400 	 -4744.1472 	 311.51 	 -96.1 
 13800 	 47.600 	 -4728.4061 	 319.69 	 234.9 
 13900 	 47.800 	 -4750.2233 	 310.06 	 -12.2 
 14000 	 48.000 	 -4867.9914 	 284.97 	 -57.9 
 14100 	 48.200 	 -4923.5577 	 299.54 	 297.9 
 14200 	 48.400 	 -4897.1107 	 295.08 	 369.0 
 14300 	 48.600 	 -4911.9463 	 304.12 	 -50.6 
 14400 	 48.800 	 -4915.2124 	 300.61 	 229.6 
 14500 	 49.000 	 -4877.7660 	 303.92 	 -383.4 
 14600 	 49.200 	 -4853.0504 	 299.31 	 -518.1 
 14700 	 49.400 	 -4857.4078 	 300.48 	 436.1 
 14800 	 49.600 	 -4825.9871 	 319.90 	 203.3 
 14900 	 49.800 	 -4812.0551 	 305.25 	 -292.8 
 15000 	 50.000 	 -4846.6835 	 303.70 	 472.8 
 15100 	 50.200 	 -4846.4495 	 309.44 	 -860.4 
 15200 	 50.400 	 -4878.3125 	 281.62 	 -206.0 
 15300 	 50.600 	 -4932.9309 	 295.65 	 326.3 
 15400 	 50.800 	 -4942.1183 	 291.08 	 42.9 
 15500 	 51.000 	 -4939.3920 	 298.20 	 -162.4 
 15600 	 51.200 	 -4911.1468 	 293.21 	 -164.4 
 15700 	 51.400 	 -4917.1998 	 292.93 	 40.0 
 15800 	 51.600 	 -4925.0586 	 298.52 	 547.9 
 15900 	 51.800 	 -4901.7294 	 304.24 	 222.7 
 16000 	 52.000 	 -4904.7184 	 296.76 	 430.3 
 16100 	 52.200 	 -4881.9266 	 303.25 	 -176.4 
 16200 	 52.400 	 -4853.0225 	 295.33 	 122.8 
 16300 	 52.600 	 -4887.5130 	 312.20 	 -24.2 
 16400 	 52.800 	 -4842.1109 	 298.01 	 481.3 
 16500 	 53.000 	 -4846.9808 	 298.62 	 536.2 
 16600 	 53.200 	 -4862.7402 	 311.86 	 -604.8 
 16700 	 53.400 	 -4851.7519 	 291.54 	 -6.5 
 16800 	 53.600 	 -4909.4545 	 300.26 	 -12.7 
 16900 	 53.800 	 -4914.8171 	 294.82 	 21.8 
 17000 	 54.000 	 -4915.2172 	 287.18 	 -503.1 
 17100 	 54.200 	 -4930.1387 	 291.56 	 102.9 
 17200 	 54.400 	 -4953.7774 	 306.20 	 189.6 
 17300 	 54.600 	 -4901.9891 	 300.38 	 260.3 
 17400 	 54.800 	 -4905.8510 	 303.32 	 -615.7 
 17500 	 55.000 	 -4926.3257 	 290.62 	 -13.1 
 17600 	 55.200 	 -4917.3863 	 290.09 	 -962.3 
 17700 	 55.400 	 -4942.2224 	 288.65 	 527.9 
 17800 	 55.600 	 -4952.2746 	 297.03 	 249.3 
 17900 	 55.800 	 -4916.1854 	 303.51 	 580.4 
 18000 	 56.000 	 -4861.9952 	 303.27 	 254.9 
 18100 	 56.200 	 -4877.2959 	 309.71 	 265.4 
 18200 	 56.400 	 -4826.5819 	 299.43 	 136.7 
 18300 	 56.600 	 -4876.5468 	 311.21 	 -220.3 
 18400 	 56.800 	 -4846.8424 	 301.51 	 733.9 
 18500 	 57.000 	 -4843.3569 	 308.26 	 -186.7 
 18600 	 57.200 	 -4842.7350 	 290.58 	 95.8 
 18700 	 57.400 	 -4834.5641 	 304.28 	 231.9 
 18800 	 57.600 	 -4793.4512 	 302.63 	 162.3 
 18900 	 57.800 	 -4854.0441 	 294.66 	 -575.9 
 19000 	 58.000 	 -4874.9529 	 305.90 	 433.3 
 19100 	 58.200 	 -4835.5704 	 306.29 	 -27.6 
 19200 	 58.400 	 -4855.0431 	 310.29 	 -216.3 
 19300 	 58.600 	 -4865.4151 	 306.91 	 121.4 
 19400 	 58.800 	 -4846.5908 	 306.75 	 74.3 
 19500 	 59.000 	 -4807.5877 	 304.73 	 -229.0 
 19600 	 59.200 	 -4811.5955 	 299.94 	 688.6 
 19700 	 59.400 	 -4835.6643 	 301.89 	 -210.1 
 19800 	 59.600 	 -4846.6731 	 301.35 	 -988.0 
 19900 	 59.800 	 -4851.4884 	 291.06 	 718.7 
 20000 	 60.000 	 -4886.9112 	 304.93 	 626.9 
 20100 	 60.200 	 -4858.1232 	 303.04 	 416.8 
 20200 	 60.400 	 -4869.2450 	 297.34 	 -309.4 
 20300 	 60.600 	 -4907.4877 	 285.35 	 570.5 
 20400 	 60.800 	 -4954.8636 	 301.87 	 249.0 
 20500 	 61.000 	 -4942.2690 	 289.39 	 220.6 
 20600 	 61.200 	 -5004.3931 	 294.65 	 349.1 
 20700 	 61.400 	 -4980.6333 	 298.49 	 262.8 
 20800 	 61.600 	 -4959.0934 	 303.73 	 226.2 
 20900 	 61.800 	 -4942.9824 	 303.07 	 445.3 
 21000 	 62.000 	 -4882.6145 	 313.13 	 -486.9 
 21100 	 62.200 	 -4857.1325 	 287.84 	 428.1 
 21200 	 62.400 	 -4916.5311 	 305.40 	 583.4 
 21300 	 62.600 	 -4894.3503 	 297.36 	 -494.0 
 21400 	 62.800 	 -4912.1722 	 301.32 	 -305.5 
 21500 	 63.000 	 -4912.5805 	 289.50 	 501.4 
 21600 	 63.200 	 -4939.9299 	 304.05 	 -102.9 
 21700 	 63.400 	 -4923.4478 	 300.42 	 -668.3 
 21800 	 63.600 	 -4885.8822 	 305.39 	 31.3 
 21900 	 63.800 	 -4879.1104 	 308.56 	 -141.8 
 22000 	 64.000 	 -4871.2521 	 307.28 	 -593.9 
 22100 	 64.200 	 -4846.9889 	 300.81 	 91.8 
 22200 	 64.400 	 -4870.2887 	 304.02 	 -64.2 
 22300 	 64.600 	 -4814.2051 	 312.44 	 209.5 
 22400 	 64.800 	 -4782.7933 	 297.94 	 290.0 
 22500 	 65.000 	 -4827.9125 	 295.15 	 254.3 
 22600 	 65.200 	 -4849.4257 	 299.71 	 168.2 
 22700 	 65.400 	 -4896.8849 	 297.38 	 -270.2 
 22800 	 65.600 	 -4898.4300 	 296.74 	 37.0 
 22900 	 65.800 	 -4887.3311 	 289.86 	 -314.9 
 23000 	 66.000 	 -4920.3260 	 300.55 	 90.6 
 23100 	 66.200 	 -4929.5851 	 286.42 	 197.1 
 23200 	 66.400 	 -4961.0590 	 290.49 	 -136.0 
 23300 	 66.600 	 -4904.5845 	 292.87 	 -6.4 
 23400 	 66.800 	 -4913.8577 	 300.15 	 65.6 
 23500 	 67.000 	 -4893.3502 	 302.86 	 34.5 
 23600 	 67.200 	 -4872.0999 	 309.06 	 -134.7 
 23700 	 67.400 	 -4799.1635 	 304.02 	 -2.7 
 23800 	 67.600 	 -4844.1789 	 301.65 	 276.0 
 23900 	 67.800 	 -4857.2238 	 311.50 	 292.7 
 24000 	 68.000 	 -4852.7959 	 300.04 	 -481.5 
 24100 	 68.200 	 -4937.0545 	 294.39 	 -632.2 
 24200 	 68.400 	 -4932.0827 	 298.30 	 -115.2 
 24300 	 68.600 	 -4903.7197 	 299.82 	 -432.0 
 24400 	 68.800 	 -4917.5152 	 294.76 	 300.1 
 24500 	 69.000 	 -4917.0623 	 285.16 	 504.4 
 24600 	 69.200 	 -4929.6231 	 297.60 	 232.8 
 24700 	 69.400 	 -4911.2961 	 294.14 	 337.7 
 24800 	 69.600 	 -4900.8126 	 302.93 	 144.7 
 24900 	 69.800 	 -4872.0052 	 301.44 	 -386.6 
 25000 	 70.000 	 -4894.1473 	 298.35 	 -27.8 
 25100 	 70.200 	 -4926.5634 	 296.37 	 -154.2 
 25200 	 70.400 	 -4936.8213 	 312.95 	 262.6 
 25300 	 70.600 	 -4873.3118 	 304.97 	 461.2 
 25400 	 70.800 	 -4926.9161 	 302.75 	 -227.5 
 25500 	 71.000 	 -4915.6954 	 292.35 	 484.5 
 25600 	 71.200 	 -4905.3008 	 300.02 	 676.6 
 25700 	 71.400 	 -4890.1921 	 298.53 	 -81.9 
 25800 	 71.600 	 -4882.1300 	 299.97 	 -124.4 
 25900 	 71.800 	 -4916.5499 	 308.37 	 -43.7 
 26000 	 72.000 	 -4886.9469 	 311.83 	 303.0 
 26100 	 72.200 	 -4850.5461 	 309.28 	 304.5 
 26200 	 72.400 	 -4859.8111 	 306.99 	 -291.6 
 26300 	 72.600 	 -4846.7970 	 295.91 	 168.4 
 26400 	 72.800 	 -4842.1241 	 303.91 	 -359.7 
 26500 	 73.000 	 -4858.2108 	 315.18 	 -259.1 
 26600 	 73.200 	 -4826.8505 	 303.57 	 17.9 
 26700 	 73.400 	 -4795.8374 	 300.77 	 42.8 
 26800 	 73.600 	 -4811.9221 	 303.94 	 103.5 
 26900 	 73.800 	 -4888.6634 	 304.50 	 -677.8 
 27000 	 74.000 	 -4909.6700 	 295.89 	 -19.5 
 27100 	 74.200 	 -4933.4484 	 290.44 	 487.5 
 27200 	 74.400 	 -4977.5063 	 292.67 	 -150.5 
 27300 	 74.600 	 -4992.3263 	 294.48 	 371.8 
 27400 	 74.800 	 -4977.7844 	 287.00 	 -767.2 
 27500 	 75.000 	 -4966.7665 	 294.15 	 849.2 
 27600 	 75.200 	 -4972.1345 	 292.06 	 24.5 
 27700 	 75.400 	 -4947.9832 	 288.84 	 326.7 
 27800 	 75.600 	 -4974.7886 	 295.18 	 55.7 
 27900 	 75.800 	 -4973.9220 	 296.34 	 -156.0 
 28000 	 76.000 	 -4942.2304 	 307.10 	 -695.2 
 28100 	 76.200 	 -4943.4810 	 296.42 	 141.9 
 28200 	 76.400 	 -4932.4172 	 284.67 	 86.3 
 28300 	 76.600 	 -4962.9499 	 288.53 	 -85.5 
 28400 	 76.800 	 -4951.6520 	 297.39 	 -183.7 
 28500 	 77.000 	 -4942.7002 	 289.20 	 379.6 
 28600 	 77.200 	 -4982.3862 	 298.13 	 -520.1 
 28700 	 77.400 	 -4983.9897 	 294.14 	 -334.2 
 28800 	 77.600 	 -4983.2188 	 294.86 	 150.4 
